City,Country,Region,Carrier company,Customer-Supplier company,Companies Traders,Cargo type,Paper specific,Delivery type
Novorossiysk,Russia,Russia,,CHANDARIA,VIPA GREECE,,,
Odessa,Ukraine,Russia,,Nordic Plast,Edward Berjoza,,,
Ogre,Latvia,Europe,,Genus,VIPA INDIA,,,
Olaine,Latvia,Europe,,Makro Profit Kompani,Global Trading,,,
Olaine,Latvia,Europe,,VSA Vilnius,Karolis Pupinis,,,
Orkanger,Norway,Europe,,Tehri,VIPA INDIA,,,
Orkanger,Norway,Europe,,Ecoprom Penza,Global Trading,,,
Osaka,Japan,Europe,,Marius Pedersen CZ,Karolis Pupinis,,,
Oslo,Norway,Asia,,Marius Pedersen SK,Karolis Pupinis,,,
Oslo,Norway,Europe,,Raduga,Global Trading,,,
Ostroleka,Poland,Europe,,DONG A BAC,VIPA GREECE,,,
Ostroleka,Poland,Europe,,Viet My Ma,VIPA GREECE,,,
Oulu,Finland,Europe,,IP Dilenyan,Global Trading,,,
Paldiski,Estonia,Europe,,Boston,VIPA USA,,,
Paranagua,Brazil,Europe,,Antrocelas,Karolis Pupinis,,,
Parnu,Estonia,Latam,,Maaden,Chris Pineau,,,
Penang,Malaysia,Europe,,Novelis AG,Chris Pineau,,,
Petrozavodsk,Russia,Asia,,Odpady-Expert,Łukasz Lutoborski,,,
Piła,Poland,Russia,,Cartiere Chiesa,VIPA ITALY,,,
Piła,Poland,Europe,,ROWE,VIPA SWITZERLAND,,,
Piraeus,Greece,Europe,,Kimberly Clark,Nikolay Kudryashov,,,
Piraeus,Greece,Europe,,IP Starikov,Global Trading,,,
Piraeus,Greece,Europe,,ICELL,Karolis Pupinis,,,
Warsaw,Poland,Europe,,Papeles Y Metales,Juan Quintero,,,
Stare Kurowo,Poland,Europe,,DONG HAI,VIPA GREECE,,,
Swiecie,Poland,Europe,,Paper Corea,VIPA GREECE,,,
Pori,Finland,Europe,,Cartones America,Gonzalo Garcia,,,
Port Klang,Malaysia,Europe,,Key Waste,VIPA GREECE,,,
Port Klang,Malaysia,Asia,,Almadar,VIPA ROTTERDAM,,,
Port Qasim,Pakistan,Asia,,Ragn-Sells DK,Nikolay Kudryashov,,,
Porto,Portugal,Asia,,Stena DK,Nikolay Kudryashov,,,
Puerto Cortes,Honduras,Europe,,Monteleone,VIPA USA,,,
Puerto Limon,Costa Rica,Latam,,Paradise Recycling Curacao,Nikolay Kudryashov,,,
Port Qasim,Pakistan,Latam,,Green AF,Juan Quintero,,,
Qingdao,China,Asia,,Vinapack,Karolis Pupinis,,,
Ramenskoye,Russia,Asia,,Certified,VIPA USA,,,
Randers,Denmark,Russia,,Varaka,VIPA GREECE,,,
Raon l’Etape,France,Europe,,RetroPET,Karolis Pupinis,,,
Raon l’Etape,France,Europe,,Area,VIPA GREECE,,,
Rauma,Finland,Europe,,Dragonseas,VIPA GREECE,,,
Riga,Latvia,Europe,,TWK ZAG,Łukasz Lutoborski,,,
Riga,Latvia,Europe,,Aryan,VIPA INDIA,,,
Riga,Latvia,Europe,,Greif,VIPA USA,,,
Rio Grande,Brazil,Europe,,WPC,VIPA USA,,,
Rostov-on-Don,Russia,Latam,,International Paper,VIPA USA,,,
Rotterdam,Holland,Russia,,Barracuda,VIPA GREECE,,,
Rotterdam,Holland,Europe,,Tal El Co.,VIPA GREECE,,,
Rotterdam,Holland,Europe,,N&V,VIPA USA,,,
